# index, node_type, node_subtype, name, _pos
236,MOTOR NEURONS,HEAD MOTOR NEURONS,RIVR,"array([ -7.47623196, -16.15419535])"
237,MOTOR NEURONS,HEAD MOTOR NEURONS,RMHL,"array([ -7.37412532, -13.28697088])"
238,MOTOR NEURONS,HEAD MOTOR NEURONS,RMHR,"array([ -6.78744826, -11.84709596])"
239,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SABD,"array([ -3.01978023, -19.30639123])"
240,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SABVL,"array([ -1.66062801, -21.04933458])"
241,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SABVR,"array([ -2.53139044, -19.21712094])"
242,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMDDL,"array([ -7.04298888, -15.8304297 ])"
243,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMDDR,"array([ -6.37484631, -15.03928245])"
244,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMDVL,"array([ -7.43336453, -16.76926498])"
245,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMDVR,"array([ -7.09230849, -14.65443117])"
246,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMBDL,"array([ -5.9324813 , -15.69264036])"
247,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMBDR,"array([ -5.85920422, -14.81777348])"
248,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMBVL,"array([ -6.31115651, -18.41981168])"
249,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMBVR,"array([ -6.20028679, -13.63669796])"
250,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIBDL,"array([ -5.64839684, -17.23035103])"
251,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIBDR,"array([ -8.6770642 , -35.88516439])"
252,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIBVL,"array([ -5.32458281, -17.9031607 ])"
253,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIBVR,"array([ 9.4783422 , -2.73242664])"
254,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIADL,"array([ -6.47737665, -17.43156095])"
255,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIADR,"array([ -4.9939909, -16.0796398])"
256,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIAVL,"array([ -5.33568851, -16.40284365])"
257,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIAVR,"array([ -6.84221975, -17.81227668])"
258,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA01,"array([ -3.54154353, -18.62255753])"
259,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA02,"array([ -2.14009623, -19.65993605])"
260,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA03,"array([ -0.92436216, -19.40362136])"
261,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA04,"array([ -1.65776645, -18.90261845])"
262,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA05,"array([ -1.62928795, -20.19300546])"
263,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA06,"array([ -0.11749142, -20.42583076])"
264,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA07,"array([  0.31726649, -18.0019769 ])"
265,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA08,"array([ -1.5683215 , -16.33280228])"
266,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA09,"array([ -1.39368859, -17.7224803 ])"
267,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,PDA,"array([ -0.86815612, -15.79957178])"
268,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DB01,"array([ -2.27597698, -20.21996646])"
269,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DB02,"array([ -3.67440111, -20.8636451 ])"
270,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DB03,"array([ -4.20063032, -20.88996785])"
271,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DB04,"array([ -4.38973527, -21.67081145])"
272,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DB05,"array([16.42361029,  5.95198987])"
273,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DB06,"array([-11.70890057, -34.67676985])"
274,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DB07,"array([ -2.44249068, -17.95129971])"
275,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS01,"array([ -4.40523484, -18.17632874])"
276,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS02,"array([ -1.79387726, -21.82958313])"
277,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS03,"array([ -0.79244087, -20.71605741])"
278,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS04,"array([  1.51270195, -20.56792257])"
279,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS05,"array([ -4.53150414, -20.08945734])"
280,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS06,"array([ -3.41138657, -19.88749392])"
281,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS07,"array([15.53164764,  2.84121209])"
282,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS08,"array([ 24.0993005 , -12.38241095])"
283,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS09,"array([-22.82438644,  -1.18801792])"
284,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS10,"array([ -3.28948617, -16.95125228])"
285,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS11,"array([ -2.44929644, -15.58501383])"
286,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,PDB,"array([ -2.03117817, -17.05763119])"
287,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DD01,"array([ -3.92966055, -20.21899435])"
288,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DD02,"array([ -2.66225202, -23.22101477])"
